time_day,num_checkin
0 Sunday Dec 04 2016,10
1 Sunday Dec 04 2016,5
2 Sunday Dec 04 2016,1
3 Sunday Dec 04 2016,1
4 Sunday Dec 04 2016,1
5 Sunday Dec 04 2016,4
6 Sunday Dec 04 2016,0
7 Sunday Dec 04 2016,4
8 Sunday Dec 04 2016,2
9 Sunday Dec 04 2016,4
10 Sunday Dec 04 2016,21
11 Sunday Dec 04 2016,138
12 Sunday Dec 04 2016,155
13 Sunday Dec 04 2016,147
14 Sunday Dec 04 2016,97
15 Sunday Dec 04 2016,92
16 Sunday Dec 04 2016,63
17 Sunday Dec 04 2016,82
18 Sunday Dec 04 2016,101
19 Sunday Dec 04 2016,97
20 Sunday Dec 04 2016,94
21 Sunday Dec 04 2016,77
22 Sunday Dec 04 2016,73
23 Sunday Dec 04 2016,54
0 Monday Dec 05 2016,11
1 Monday Dec 05 2016,2
2 Monday Dec 05 2016,0
3 Monday Dec 05 2016,0
4 Monday Dec 05 2016,2
5 Monday Dec 05 2016,0
6 Monday Dec 05 2016,2
7 Monday Dec 05 2016,2
8 Monday Dec 05 2016,0
9 Monday Dec 05 2016,2
10 Monday Dec 05 2016,9
11 Monday Dec 05 2016,71
12 Monday Dec 05 2016,108
13 Monday Dec 05 2016,105
14 Monday Dec 05 2016,87
15 Monday Dec 05 2016,56
16 Monday Dec 05 2016,60
17 Monday Dec 05 2016,73
18 Monday Dec 05 2016,81
19 Monday Dec 05 2016,87
20 Monday Dec 05 2016,92
21 Monday Dec 05 2016,96
22 Monday Dec 05 2016,77
23 Monday Dec 05 2016,54
0 Tuesday Dec 06 2016,7
1 Tuesday Dec 06 2016,1
2 Tuesday Dec 06 2016,0
3 Tuesday Dec 06 2016,0
4 Tuesday Dec 06 2016,1
5 Tuesday Dec 06 2016,0
6 Tuesday Dec 06 2016,1
7 Tuesday Dec 06 2016,1
8 Tuesday Dec 06 2016,0
9 Tuesday Dec 06 2016,2
10 Tuesday Dec 06 2016,7
11 Tuesday Dec 06 2016,74
12 Tuesday Dec 06 2016,104
13 Tuesday Dec 06 2016,80
14 Tuesday Dec 06 2016,62
15 Tuesday Dec 06 2016,54
16 Tuesday Dec 06 2016,51
17 Tuesday Dec 06 2016,58
18 Tuesday Dec 06 2016,84
19 Tuesday Dec 06 2016,83
20 Tuesday Dec 06 2016,94
21 Tuesday Dec 06 2016,94
22 Tuesday Dec 06 2016,69
23 Tuesday Dec 06 2016,57
0 Wednesday Dec 07 2016,12
1 Wednesday Dec 07 2016,3
2 Wednesday Dec 07 2016,5
3 Wednesday Dec 07 2016,0
4 Wednesday Dec 07 2016,0
5 Wednesday Dec 07 2016,0
6 Wednesday Dec 07 2016,2
7 Wednesday Dec 07 2016,3
8 Wednesday Dec 07 2016,3
9 Wednesday Dec 07 2016,4
10 Wednesday Dec 07 2016,4
11 Wednesday Dec 07 2016,71
12 Wednesday Dec 07 2016,103
13 Wednesday Dec 07 2016,94
14 Wednesday Dec 07 2016,90
15 Wednesday Dec 07 2016,67
16 Wednesday Dec 07 2016,61
17 Wednesday Dec 07 2016,80
18 Wednesday Dec 07 2016,93
19 Wednesday Dec 07 2016,113
20 Wednesday Dec 07 2016,117
21 Wednesday Dec 07 2016,105
22 Wednesday Dec 07 2016,99
23 Wednesday Dec 07 2016,63
0 Thursday Dec 08 2016,7
1 Thursday Dec 08 2016,3
2 Thursday Dec 08 2016,1
3 Thursday Dec 08 2016,1
4 Thursday Dec 08 2016,1
5 Thursday Dec 08 2016,0
6 Thursday Dec 08 2016,2
7 Thursday Dec 08 2016,4
8 Thursday Dec 08 2016,2
9 Thursday Dec 08 2016,3
10 Thursday Dec 08 2016,11
11 Thursday Dec 08 2016,104
12 Thursday Dec 08 2016,155
13 Thursday Dec 08 2016,162
14 Thursday Dec 08 2016,126
15 Thursday Dec 08 2016,116
16 Thursday Dec 08 2016,106
17 Thursday Dec 08 2016,99
18 Thursday Dec 08 2016,130
19 Thursday Dec 08 2016,142
20 Thursday Dec 08 2016,146
21 Thursday Dec 08 2016,130
22 Thursday Dec 08 2016,130
23 Thursday Dec 08 2016,102
0 Friday Dec 09 2016,89
1 Friday Dec 09 2016,57
2 Friday Dec 09 2016,10
3 Friday Dec 09 2016,2
4 Friday Dec 09 2016,3
5 Friday Dec 09 2016,1
6 Friday Dec 09 2016,0
7 Friday Dec 09 2016,5
8 Friday Dec 09 2016,4
9 Friday Dec 09 2016,2
10 Friday Dec 09 2016,14
11 Friday Dec 09 2016,183
12 Friday Dec 09 2016,218
13 Friday Dec 09 2016,240
14 Friday Dec 09 2016,206
15 Friday Dec 09 2016,181
16 Friday Dec 09 2016,157
17 Friday Dec 09 2016,172
18 Friday Dec 09 2016,145
19 Friday Dec 09 2016,154
20 Friday Dec 09 2016,128
21 Friday Dec 09 2016,145
22 Friday Dec 09 2016,143
23 Friday Dec 09 2016,129
0 Saturday Dec 10 2016,108
1 Saturday Dec 10 2016,50
2 Saturday Dec 10 2016,12
3 Saturday Dec 10 2016,2
4 Saturday Dec 10 2016,3
5 Saturday Dec 10 2016,1
6 Saturday Dec 10 2016,0
7 Saturday Dec 10 2016,1
8 Saturday Dec 10 2016,2
9 Saturday Dec 10 2016,2
10 Saturday Dec 10 2016,17
11 Saturday Dec 10 2016,206
12 Saturday Dec 10 2016,209
13 Saturday Dec 10 2016,195
14 Saturday Dec 10 2016,193
15 Saturday Dec 10 2016,139
16 Saturday Dec 10 2016,90
17 Saturday Dec 10 2016,109
18 Saturday Dec 10 2016,128
19 Saturday Dec 10 2016,141
20 Saturday Dec 10 2016,133
21 Saturday Dec 10 2016,98
22 Saturday Dec 10 2016,117
23 Saturday Dec 10 2016,77
